Name,Default Code,List Price,Cost,Description,Quantity On Hand,Image URL
Deluxe Father's Day Gift Basket,GIFT-01,84.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_01.jpg
Premium Gift Box Set,GIFT-02,89.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_02.jpg
Luxury Gift Hamper,GIFT-03,94.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_03.jpg
Special Occasion Gift Basket,GIFT-04,99.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_04.jpg
Executive Gift Set,GIFT-05,104.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_05.jpg
Celebration Gift Package,GIFT-06,109.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_06.jpg
VIP Gift Collection,GIFT-07,114.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_07.jpg
Premium Care Gift Box,GIFT-08,119.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_08.jpg
Artisan Gift Basket,GIFT-09,124.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_09.jpg
Ultra Luxury Gift Set,GIFT-10,129.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_10.jpg
Exclusive Gift Hamper,GIFT-11,134.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_11.jpg
Grand Celebration Basket,GIFT-12,139.99,30,Premium gift basket with assorted luxury items and beautiful presentation,50,/assets/images/gift_baskets/gift_basket_12.jpg
