Name,Default Code,List Price,Cost,Description,Quantity On Hand,Image URL
Sports Trading Card Set 1,CARD-0001,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0001.jpg
Sports Trading Card Set 2,CARD-0002,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0002.jpg
Sports Trading Card Set 3,CARD-0003,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0003.jpg
Sports Trading Card Set 4,CARD-0004,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0004.jpg
Sports Trading Card Set 5,CARD-0005,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0005.jpg
Sports Trading Card Set 6,CARD-0006,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0006.jpg
Sports Trading Card Set 7,CARD-0007,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0007.jpg
Sports Trading Card Set 8,CARD-0008,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0008.jpg
Sports Trading Card Set 9,CARD-0009,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0009.jpg
Sports Trading Card Set 10,CARD-0010,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0010.jpg
Sports Trading Card Set 11,CARD-0011,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0011.jpg
Sports Trading Card Set 12,CARD-0012,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0012.jpg
Sports Trading Card Set 13,CARD-0013,49.99,15,Premium sports trading card set with rare and collectible cards,100,/assets/images/sports_cards/sports_card_0013.jpg
